cbo,rfc,lcom,loc,cam,amc,max_cc,bug
10,18,3,106,0.444444444,32.66666667,1,False
4,13,0,76,0.5,13.4,1,False
1,3,0,7,1.0,6.0,0,False
13,20,12,101,0.40625,11.0,1,False
5,26,16,185,0.38888888899999996,19.0,2,True
7,4,1,16,0.5555555560000001,4.0,1,False
4,40,130,345,0.284210526,15.9,3,True
7,28,20,183,0.3,12.53846154,7,False
5,19,8,119,0.518518519,11.77777778,3,False
9,25,0,255,0.342857143,34.85714286,9,False
5,17,26,71,0.333333333,6.555555556,3,False
19,10,3,38,0.583333333,11.66666667,1,False
10,1,0,1,1.0,0.0,1,False
3,12,20,54,0.375,4.555555556,1,False
7,40,129,252,0.3815789470000001,11.52631579,6,False
13,26,0,110,0.26,9.9,3,False
2,5,0,34,0.5,10.0,1,False
7,79,136,835,0.19375,39.8,10,False
8,6,15,6,0.444444444,0.0,1,False
5,11,1,41,0.75,12.33333333,3,True
7,14,6,70,0.8,12.6,4,False
1,1,0,1,1.0,0.0,1,False
7,26,0,181,0.409090909,15.0,1,False
5,15,3,51,0.666666667,16.0,2,False
5,7,1,29,0.666666667,8.333333332999999,1,False
15,65,76,483,0.311111111,28.25,9,True
12,5,0,18,0.4375,3.25,1,False
11,65,75,443,0.295238095,28.06666667,5,False
3,24,17,309,0.545454545,26.45454545,11,False
1,3,1,7,0.75,2.5,1,False
9,41,0,204,0.225,12.33333333,2,False
11,29,85,108,0.321428571,6.571428571,4,False
8,101,157,1286,0.18376068399999998,45.62962963,4,True
8,23,4,249,0.8,48.2,1,False
2,3,3,4,0.666666667,0.0,1,False
5,19,6,57,0.625,13.25,2,False
2,11,3,53,0.666666667,7.5,1,False
20,106,1313,1133,0.195454545,19.12727273,10,False
4,19,3,136,0.666666667,44.33333333,2,False
4,22,0,169,0.625,19.875,7,False
1,23,39,136,0.34848484799999996,10.81818182,1,False
10,29,43,91,0.2,7.9,3,False
1,2,0,4,1.0,3.0,0,False
12,22,3,72,1.0,22.66666667,1,False
32,36,36,281,0.25,29.55555556,11,False
24,8,3,43,0.7142857140000001,4.714285714,1,False
4,19,30,130,0.666666667,13.33333333,4,False
61,144,1603,2303,0.213709677,35.01587302,35,True
20,13,7,56,0.433333333,8.0,1,False
6,2,1,2,0.666666667,0.0,1,False
5,47,159,365,0.3619047620000001,14.81818182,9,False
9,34,118,137,0.270588235,6.470588235,2,True
15,99,18,804,0.27777777800000003,65.08333333,18,True
3,30,27,245,0.283333333,22.8,2,False
9,20,1,128,0.625,63.0,9,True
25,120,451,920,0.146825397,19.86046512,15,True
37,44,183,271,0.198863636,11.22727273,3,False
15,67,295,586,0.17320261399999998,15.91176471,5,True
3,4,1,19,1.0,8.0,1,False
3,6,3,16,0.333333333,4.333333333,1,False
3,16,2,76,0.5,17.5,3,False
8,26,0,76,0.287878788,5.818181817999999,1,False
7,20,4,187,0.5,45.0,9,True
51,169,1200,1842,0.15584415599999998,31.60714286,14,True
8,16,0,105,0.583333333,19.4,9,False
3,41,10,241,0.36,47.2,7,False
3,26,0,218,0.47619047600000003,29.57142857,5,False
6,35,130,207,0.352941176,10.76470588,3,True
6,33,0,157,0.533333333,37.5,2,False
6,26,0,141,0.46666666700000003,26.8,1,False
11,54,10,345,0.314814815,36.55555556,1,True
1,10,0,67,0.666666667,20.33333333,1,False
3,10,0,52,0.375,7.333333333,2,False
7,15,0,77,0.4375,18.0,5,False
2,6,0,19,0.625,3.5,1,False
4,32,34,145,0.481481481,14.88888889,1,False
11,31,0,329,0.25,39.25,19,False
14,83,47,566,0.244897959,36.2,4,False
3,1,0,1,1.0,0.0,1,False
8,67,90,878,0.29375,50.17647059,11,False
7,50,270,250,0.162037037,9.375,5,False
8,20,0,106,0.625,24.75,5,False
11,53,229,405,0.138047138,13.74074074,6,True
8,32,15,166,0.3,15.3,3,False
4,1,0,1,1.0,0.0,1,False
15,36,3,249,0.26666666699999997,23.5,7,False
12,41,19,240,0.290909091,20.27272727,4,False
3,22,44,156,0.261904762,11.41666667,4,False
14,58,0,303,0.226190476,24.0,3,True
3,8,1,33,1.0,15.5,1,False
10,77,41,725,0.25,46.8,2,True
4,38,0,258,0.444444444,35.28571429,1,False
6,4,6,4,0.5,0.0,1,False
5,8,4,42,0.583333333,9.0,2,False
9,55,162,361,0.19375,15.95238095,6,False
3,12,0,55,0.625,12.25,4,False
9,21,145,143,0.230263158,5.684210526,1,True
11,75,44,455,0.236111111,36.08333333,4,False
9,6,15,10,0.7222222220000001,0.0,1,False
7,14,3,52,0.5555555560000001,16.33333333,3,False
5,27,0,115,0.47619047600000003,15.14285714,4,False
8,38,83,220,0.297619048,14.5,4,True
11,39,7,605,0.25974026,51.0,15,False
2,81,100,654,0.27450980399999997,37.17647059,7,False
17,14,0,103,0.666666667,50.0,1,False
25,44,45,311,0.21666666699999998,19.33333333,6,False
184,66,346,375,0.19157088100000005,11.72413793,5,False
10,92,39,710,0.148484848,19.64705882,5,True
2,13,6,45,0.625,10.25,2,False
15,23,5,148,0.523809524,19.71428571,3,False
8,84,103,1034,0.26984127,52.05263158,1,False
1,2,0,5,1.0,4.0,0,False
10,23,0,197,0.35,22.875,6,False
7,34,75,286,0.208333333,17.4,5,False
8,22,15,163,0.305555556,25.83333333,4,False
3,18,4,111,0.75,26.25,2,False
16,7,21,7,1.0,0.0,1,True
2,8,1,48,0.5,23.0,1,False
1,0,0,48,0.0,0.0,0,False
7,43,222,309,0.375,11.16666667,8,False
1,4,1,14,0.666666667,3.333333333,1,False
3,7,0,161,0.75,38.5,1,False
1,7,0,40,1.0,37.0,0,False
8,10,0,125,0.5,29.5,2,False
7,49,7,488,0.25,33.21428571,12,True
3,18,0,204,0.666666667,65.66666667,2,False
15,7,4,22,0.5,4.25,1,False
9,24,8,143,0.428571429,16.25,4,False
4,19,10,159,0.27777777800000003,16.0,3,False
4,9,3,27,0.5555555560000001,8.0,3,False
13,80,59,678,0.477272727,28.95454545,8,False
8,38,45,202,0.28571428600000004,17.0,6,False
4,13,0,87,0.75,20.5,1,False
2,42,0,234,0.444444444,18.16666667,4,False
2,7,4,39,0.7,6.2,1,False
10,52,60,213,0.27777777800000003,16.66666667,4,False
31,5,10,5,0.533333333,0.0,1,False
23,69,81,517,0.18333333300000001,25.57894737,6,False
1,15,6,49,1.0,11.0,1,False
1,3,0,6,1.0,5.0,0,False
17,48,41,384,0.261904762,25.92857143,26,True
2,4,1,20,0.75,9.0,3,False
2,13,1,76,0.5,18.66666667,4,False
9,39,1,260,0.28571428600000004,35.57142857,1,True
12,26,9,106,0.428571429,13.0,3,False
1,1,0,2,1.0,0.0,1,False
9,33,0,205,0.4166666670000001,32.33333333,1,False
17,15,13,97,0.22077922100000005,7.272727272999999,1,False
3,13,1,48,0.75,23.0,5,False
45,68,244,397,0.211180124,15.375,6,True
13,59,248,290,0.173333333,10.36,6,False
5,12,3,40,0.666666667,12.33333333,1,False
5,57,34,566,0.303571429,60.88888889,2,True
4,6,0,30,0.666666667,8.666666667000001,2,False
31,210,844,2937,0.127314815,58.40816327,13,True
8,21,15,83,0.4166666670000001,12.83333333,3,True
11,28,0,122,0.28571428600000004,16.14285714,1,False
4,9,3,27,0.5555555560000001,8.0,3,False
2,1,0,2064,0.0,2052.0,0,False
5,22,6,185,0.625,21.125,4,True
6,34,39,195,0.3,16.18181818,5,True
6,26,22,95,0.40625,10.75,2,False
8,34,26,341,0.3125,26.91666667,1,False
5,16,0,86,0.642857143,11.0,1,False
3,15,1,58,0.666666667,28.0,1,False
26,1,0,1,1.0,0.0,1,False
30,96,87,905,0.192307692,63.5,10,True
14,47,124,575,0.325396825,26.04761905,10,False
6,12,2,48,0.46666666700000003,8.2,1,False
8,37,60,331,0.4166666670000001,24.07692308,4,False
5,25,15,94,0.833333333,14.66666667,3,False
4,0,0,0,0.0,0.0,0,False
4,34,11,236,0.666666667,37.83333333,6,True
6,17,6,94,0.6,17.4,3,False
14,85,180,741,0.326086957,29.54166667,7,True
12,38,3,182,0.833333333,59.33333333,12,False
21,94,461,559,0.153846154,13.07692308,7,False
4,20,0,162,0.75,38.75,1,False
7,42,148,263,0.3875,11.6,6,False
1,2,0,4,1.0,3.0,0,False
63,15,14,103,0.5555555560000001,10.22222222,1,False
6,29,0,212,0.3,19.7,5,False
0,2,0,16,1.0,3.0,0,True
12,71,163,783,0.25170068,33.95454545,22,True
8,21,0,104,0.333333333,16.0,4,False
2,20,21,129,0.4,11.4,1,False
18,12,10,62,0.533333333,11.4,5,False
2,4,1,20,0.75,9.0,3,False
4,18,0,126,0.47619047600000003,16.42857143,5,False
8,34,1,346,1.0,172.0,1,False
69,3,3,3,1.0,0.0,1,False
1,12,15,74,0.5,11.33333333,3,False
29,119,277,900,0.207885305,27.83870968,16,True
13,103,176,1046,0.175,41.875,6,True
15,130,434,1220,0.328125,35.12121212,26,False
4,15,4,90,0.533333333,16.4,1,False
11,28,3,111,0.833333333,35.66666667,7,False
2,15,1,73,0.75,35.5,6,False
1,3,0,7,1.0,6.0,0,False
12,42,54,233,0.26153846199999997,16.61538462,6,True
6,29,6,164,1.0,39.5,7,False
2,7,4,502,0.5555555560000001,124.0,4,False
12,37,56,269,0.205128205,19.38461538,7,False
3,11,0,84,0.4375,19.75,12,False
15,72,54,457,0.194444444,20.28571429,3,True
5,3,3,8,0.666666667,0.0,1,False
3,19,3,83,0.666666667,26.66666667,4,False
29,123,2700,1021,0.20593692,11.77922078,14,True
4,1,0,1,1.0,0.0,1,False
5,10,0,36,0.4375,7.75,1,False
3,20,15,106,0.5555555560000001,16.66666667,4,False
9,51,28,344,0.294117647,18.76470588,5,True
5,9,0,27,0.625,5.5,1,False
8,45,15,279,0.327272727,24.09090909,10,True
8,49,54,450,0.346153846,33.0,6,True
24,24,276,24,0.089285714,0.0,1,False
7,69,8,379,0.4166666670000001,74.4,12,True
3,29,55,161,0.29333333300000003,9.466666667,3,False
9,13,0,69,0.533333333,12.6,3,False
2,21,1,120,0.666666667,38.33333333,6,False
7,26,6,193,0.533333333,36.6,5,True
3,26,9,210,0.642857143,28.14285714,13,True
10,53,0,419,0.28571428600000004,28.78571429,7,False
7,50,271,392,0.384615385,13.34615385,9,False
28,137,774,1254,0.127906977,26.88636364,5,True
7,5,10,5,0.4,0.0,1,False
12,109,233,881,0.157051282,32.11538462,4,True
7,39,100,241,0.382352941,12.41176471,7,False
142,158,1627,1752,0.160233918,28.96551724,17,True
4,56,107,689,0.260869565,28.73913043,7,True
4,29,17,224,0.4,18.72727273,3,False
6,24,0,133,0.325,15.25,6,False
8,16,8,77,0.4375,14.0,2,False
5,7,0,33,0.583333333,6.75,2,True
2,11,3,51,0.666666667,7.166666667,1,False
4,41,15,388,0.2,54.0,3,True
5,30,0,328,0.375,30.8,12,False
3,26,0,115,0.625,27.0,1,False
18,53,86,348,0.155080214,18.82352941,8,True
9,34,68,199,0.292307692,14.15384615,5,False
1,17,0,251,0.5,77.33333333,11,False
1,7,0,58,0.666666667,17.66666667,4,False
9,16,11,195,0.4,29.5,3,False
24,45,46,189,0.375,12.0,3,False
7,37,66,184,0.512820513,12.84615385,4,False
7,25,12,133,0.270833333,14.875,3,False
25,109,268,879,0.125,28.68965517,29,True
6,17,0,156,0.583333333,46.33333333,9,False
4,7,0,34,0.5,7.25,2,False
5,21,130,125,0.36,5.0,4,False
29,40,72,463,0.177777778,26.9375,5,False
0,2,0,15,1.0,3.0,0,False
9,36,62,202,0.307692308,14.30769231,5,True
7,1,0,1,1.0,0.0,1,False
1,14,28,271,0.45,32.875,7,False
1,0,0,7,0.0,0.0,0,False
6,10,0,74,0.583333333,12.8,5,False
13,32,0,192,0.23809523800000001,14.83333333,4,False
15,108,244,712,0.178030303,26.92,8,True
3,7,0,27,0.666666667,7.666666667,1,False
2,9,1,22,1.0,10.0,1,False
8,75,53,968,0.18333333300000001,86.27272727,17,True
2,11,3,25,0.666666667,7.333333333,1,False
5,20,28,156,0.481481481,15.88888889,1,False
5,42,233,269,0.269230769,9.115384615,3,False
7,28,0,191,0.314285714,25.71428571,2,False
4,1,0,1,1.0,0.0,1,False
3,6,6,24,0.7,3.4,1,False
5,27,3,135,0.5,21.16666667,2,False
5,16,0,82,1.0,15.0,3,False
13,57,4,377,0.5,44.75,7,False
2,7,21,7,0.642857143,0.0,1,False
10,42,126,274,0.17857142899999998,11.66666667,4,False
12,97,302,1230,0.272321429,41.78571429,20,False
1,0,0,25,0.0,0.0,0,False
5,12,3,44,1.0,13.66666667,1,False
4,10,0,55,0.666666667,17.0,1,False
10,90,63,615,0.222222222,42.14285714,3,False
4,15,0,105,0.5,24.5,1,False
5,21,3,104,0.533333333,15.66666667,1,False
3,1,0,1,1.0,0.0,1,False
6,30,0,182,0.6,88.5,9,False
14,24,11,124,0.35714285700000004,14.71428571,1,False
2,12,0,68,0.5,15.25,1,False
6,15,6,122,0.4375,13.625,2,False
5,45,21,359,0.45,34.3,2,False
5,4,6,4,0.625,0.0,1,False
1,8,0,43,0.666666667,6.0,1,False
7,40,58,292,0.32967033,20.92307692,10,False
4,15,3,70,0.533333333,10.0,1,False
7,39,148,285,0.375,12.6,5,False
1,6,1,20,0.75,9.0,1,False
10,47,145,1004,0.18487395,54.66666667,47,True
16,79,365,466,0.20952381,13.64516129,4,False
3,5,1,12,0.75,5.0,1,False
7,37,44,231,0.291666667,17.75,5,False
5,30,8,214,0.5,25.25,6,False
3,20,3,82,0.5,26.33333333,6,False
4,43,81,230,0.28571428600000004,14.92857143,5,False
8,27,21,94,0.4,7.272727272999999,1,False
8,6,1,25,0.833333333,7.0,3,False
10,64,22,791,0.703703704,86.88888889,23,True
3,11,1,74,0.5555555560000001,10.66666667,1,False
9,10,6,185,0.5,34.0,5,False
13,14,6,56,0.375,12.75,1,False
32,120,417,2098,0.290441176,58.05714286,19,True
3,1,0,1,1.0,0.0,1,False
13,87,69,498,0.233333333,31.73333333,7,True
4,21,3,108,0.428571429,13.71428571,2,False
4,41,0,381,0.818181818,29.5,3,True
2,1,0,1,1.0,0.0,1,False
6,72,22,623,0.27380952399999997,45.84615385,1,True
6,60,402,4541,0.19166666699999999,109.0243902,47,True
27,23,68,400,0.708333333,28.23076923,50,True
13,31,76,165,0.1953125,8.8125,4,False
6,30,30,282,0.472222222,22.08333333,6,False
4,5,0,24,0.875,4.75,1,False
15,76,152,573,0.17857142899999998,25.85714286,23,True
5,18,14,90,0.40625,8.333333332999999,1,True
7,46,27,372,0.214285714,24.92857143,5,False
1,0,0,26,0.0,0.0,0,False
3,30,9,278,0.5555555560000001,36.42857143,3,False
4,17,0,131,0.5555555560000001,20.0,1,False
4,17,0,107,0.47619047600000003,13.85714286,5,False
1,2,0,4,1.0,3.0,0,False
14,42,113,356,0.268907563,18.38888889,11,True
19,33,66,261,0.25925925899999996,20.58333333,8,False
11,20,0,75,0.4375,17.5,3,True
5,39,4,274,0.46875,32.5,5,False
14,62,133,625,0.26623376600000004,27.22727273,9,False
8,10,0,51,0.625,11.5,1,False
18,66,77,315,0.222222222,19.53333333,2,False
18,80,86,631,0.18888888899999998,37.75,4,True
23,45,348,204,0.079192547,6.25,4,True
5,1,0,1,1.0,0.0,1,False
13,26,0,198,0.39285714299999996,26.71428571,5,False
3,10,0,44,0.5555555560000001,13.33333333,4,False
6,15,2,85,0.5,19.5,6,True
5,70,407,615,0.316129032,18.16129032,11,False
2,11,3,25,0.666666667,7.333333333,1,False
4,13,0,85,0.5,19.75,1,False
5,7,0,29,0.625,6.0,1,False
34,63,200,528,0.219387755,17.57142857,8,True
3,11,0,56,0.375,8.0,3,False
3,9,0,64,0.533333333,11.2,1,False
7,3,3,3,0.47619047600000003,0.0,1,False
67,14,35,75,0.32,6.2,3,False
5,26,0,172,0.375,20.125,4,False
4,42,185,249,0.211180124,9.52173913,3,False
9,1,0,1,1.0,0.0,1,False
3,0,0,0,0.0,0.0,0,False
8,15,20,136,0.47619047600000003,15.375,7,False
5,21,10,71,0.533333333,13.2,2,False
2,36,38,620,0.293650794,28.0,3,True
8,13,6,44,0.625,10.0,2,False
3,31,3,202,0.666666667,66.33333333,14,False
25,59,67,304,0.26153846199999997,20.35714286,4,True
7,51,381,376,0.24193548399999998,10.67741935,4,False
10,12,1,76,0.666666667,24.33333333,4,False
1,5,0,45,0.666666667,13.33333333,2,False
8,49,21,265,0.363636364,22.72727273,7,False
4,14,15,56,0.47619047600000003,6.571428571,1,False
4,1,0,1,1.0,0.0,1,False
25,157,744,1828,0.13986014,39.04444444,19,True
1,6,1,22,0.666666667,6.0,1,False
3,32,0,1254,0.5555555560000001,207.33333330000002,2,False
3,8,8,101,0.625,18.0,1,False
6,55,79,322,0.268907563,16.11111111,3,False
2,4,1,12,0.75,5.0,1,False
21,96,246,610,0.15416666699999998,24.08333333,14,False
7,20,12,75,0.25925925899999996,7.0,1,False
5,19,21,105,0.2,14.0,8,True
