noc,cbo,rfc,lcom,ca,ce,npm,loc,dam,mfa,ic,cbm,max_cc,bug
0,19,18,0,8,15,4,84,0.0,0.5,0,0,3,True
0,13,41,7,1,12,9,286,0.5,0.72,2,6,6,True
0,4,38,0,0,4,9,287,1.0,0.0,0,0,5,False
0,3,7,6,2,2,1,26,0.0,0.98125,2,3,3,False
2,20,82,160,5,18,8,596,0.833333333,0.768421053,2,8,3,True
3,13,6,10,10,3,0,8,0.0,0.0,0,0,1,False
0,13,61,0,4,9,0,553,0.333333333,0.0,0,0,4,True
0,6,34,34,1,6,7,323,0.7777777779999999,0.444444444,1,2,3,True
0,8,36,58,1,7,13,191,1.0,0.0,0,0,1,False
0,30,8,28,28,2,8,8,0.0,0.0,0,0,1,False
0,3,7,0,2,1,3,125,0.14285714300000002,0.0,0,0,3,False
0,2,19,0,1,1,8,65,0.0,0.708333333,1,4,1,False
1,5,7,15,3,3,0,9,0.0,0.0,0,0,1,False
2,10,8,21,7,3,0,10,0.0,0.0,0,0,1,False
0,10,25,0,2,10,6,91,0.0,0.5,0,0,1,True
0,2,17,0,0,2,6,90,1.0,0.5,1,1,2,True
0,7,5,0,4,5,1,57,0.0,0.0,0,0,1,True
0,20,64,167,13,11,22,446,1.0,0.333333333,2,6,12,True
0,2,4,1,1,1,1,13,0.0,0.923076923,1,1,2,True
0,8,6,0,8,0,0,100,0.0,0.0,0,0,1,False
0,79,22,0,79,0,10,145,0.0,0.0,1,1,6,True
2,7,16,0,2,5,1,66,1.0,0.0,0,0,1,False
0,16,22,0,11,6,6,100,1.0,0.6315789470000001,2,2,4,True
2,4,21,13,2,2,3,185,0.75,0.583333333,1,2,1,True
0,36,2,0,36,0,1,5,0.0,1.0,0,0,0,False
0,9,33,34,0,9,5,453,1.0,0.885057471,1,5,3,False
0,16,6,6,15,3,3,15,0.0,0.0,0,0,1,False
0,4,17,5,1,4,5,109,1.0,0.0,0,0,2,True
2,11,6,10,8,4,2,8,0.0,0.0,0,0,1,False
3,57,36,176,52,5,19,193,0.5,0.0,0,0,1,True
2,10,47,108,3,8,15,817,0.333333333,0.24,0,0,2,True
5,10,6,4,9,1,5,19,1.0,0.0,0,0,1,True
0,4,14,4,1,3,2,74,0.0,0.7777777779999999,1,2,1,False
0,4,10,15,1,3,6,31,0.0,0.615384615,1,3,1,True
0,9,20,5,2,8,3,191,0.0,0.28571428600000004,0,0,8,False
0,5,6,3,1,4,3,18,0.0,0.5,0,0,1,False
0,14,2,0,11,3,0,11,0.0,1.0,0,0,0,False
1,13,46,0,2,12,7,357,1.0,0.0,0,0,1,True
0,30,39,0,28,3,17,432,0.833333333,0.0,0,0,5,False
0,3,12,66,3,0,12,12,0.0,0.0,0,0,1,True
0,5,12,0,4,1,0,95,0.0,0.0,0,0,1,False
0,8,20,0,2,6,0,389,1.0,0.833333333,1,1,5,True
0,31,57,203,25,6,18,565,0.222222222,0.0,0,0,3,True
0,19,1,0,18,1,1,1,0.0,0.0,0,0,1,False
0,9,51,14,3,6,5,414,0.75,0.0,0,0,4,False
0,12,12,1,1,11,6,173,1.0,0.9215686270000001,0,0,6,False
0,16,103,317,3,16,28,865,0.8888888890000001,0.688679245,1,10,3,True
0,2,23,26,0,2,6,155,0.0,0.9137931029999999,0,0,1,True
0,5,5,0,1,5,2,31,0.0,0.0,0,0,1,False
0,11,37,3,3,10,6,281,0.0,0.4,0,0,5,False
1,8,6,10,6,3,0,8,0.0,0.0,0,0,1,False
0,10,26,0,3,8,8,143,0.0,0.6,2,4,5,True
0,7,21,9,2,6,6,120,0.333333333,0.705882353,2,3,6,True
2,5,4,3,4,2,1,6,0.0,0.0,0,0,1,False
0,9,39,0,1,8,11,480,1.0,0.545454545,2,2,13,True
0,5,29,53,1,4,6,514,1.0,0.541666667,1,4,14,True
5,19,19,13,18,1,5,119,0.333333333,0.0,0,0,1,True
0,14,30,0,2,13,4,136,0.0,0.5,0,0,1,False
0,7,31,0,1,7,12,182,1.0,0.566666667,2,2,6,True
1,14,4,0,13,1,3,25,0.333333333,0.0,0,0,1,True
0,11,13,1,1,10,3,88,1.0,0.666666667,1,3,3,True
6,28,5,3,25,3,3,15,0.0,0.0,0,0,1,True
0,17,14,78,11,8,12,20,0.0,0.0,0,0,1,True
7,40,22,147,40,0,17,314,1.0,0.0,0,0,1,True
6,16,19,70,15,1,11,121,1.0,0.0,0,0,2,True
0,8,9,1,2,6,0,64,0.0,0.9523809520000001,1,1,1,True
0,4,6,0,2,3,3,44,0.0,0.5,0,0,3,False
1,23,29,67,10,22,12,199,0.333333333,0.0,0,0,1,True
0,2,3,1,0,2,2,7,0.0,0.0,0,0,1,False
0,23,77,92,18,5,8,1568,0.523809524,0.0,1,1,4,True
2,4,33,42,3,1,10,478,0.625,0.548387097,1,5,8,False
0,2,8,8,2,0,3,90,0.0,0.7142857140000001,1,2,3,False
0,13,58,0,0,13,22,719,1.0,0.0,0,0,2,True
0,3,19,0,1,2,5,100,0.0,0.5,1,2,1,False
3,11,4,3,10,1,0,6,0.0,0.0,0,0,1,False
0,18,11,55,6,12,11,11,0.0,0.0,0,0,1,True
0,4,5,0,1,3,3,65,0.666666667,0.7777777779999999,0,0,4,False
3,29,25,167,26,3,18,343,1.0,0.0,0,0,1,True
0,9,46,102,2,8,16,454,1.0,0.413793103,2,4,7,True
0,2,17,6,2,0,4,147,0.0,0.0,0,0,1,True
0,6,4,1,4,2,0,39,0.0,0.923076923,1,3,4,True
0,3,18,7,1,2,4,112,0.5,0.7,1,2,1,True
0,8,22,38,5,3,10,447,0.0,0.607142857,1,4,8,False
0,7,30,0,1,6,6,303,1.0,0.0,0,0,4,False
0,14,6,15,14,0,6,6,0.0,0.0,0,0,1,True
3,9,8,21,6,4,0,15,0.0,0.0,0,0,1,False
1,2,12,17,1,1,8,185,0.75,0.653846154,1,5,1,False
0,5,10,4,5,0,0,298,0.0,0.0,0,0,4,False
0,30,97,553,22,10,28,729,0.41176470600000004,0.686956522,1,2,6,True
0,8,28,0,2,6,17,482,0.0,0.709677419,1,6,4,True
1,3,16,0,1,2,0,178,1.0,0.0,0,0,3,True
0,10,23,6,1,10,2,185,0.0,0.4,0,0,1,True
0,8,2,1,8,0,2,2,0.0,0.0,0,0,1,False
1,2,4,1,1,1,1,9,0.0,0.923076923,1,1,1,False
0,7,14,15,3,5,5,57,0.0,0.705882353,2,3,3,True
0,12,21,24,2,12,5,167,0.0,0.363636364,0,0,6,False
0,10,43,0,4,7,11,292,1.0,0.607142857,2,2,7,True
1,7,6,10,5,2,0,8,0.0,0.0,0,0,1,False
0,17,7,1,17,0,2,21,0.0,0.0,0,0,2,True
0,8,12,4,1,7,3,55,1.0,0.857142857,1,1,2,True
0,3,35,196,2,2,10,729,0.707317073,0.0,0,0,3,False
0,7,53,38,3,6,9,725,0.857142857,0.0,0,0,6,True
0,2,25,0,1,1,11,98,0.0,0.62962963,1,5,1,False
0,1,25,22,1,0,6,126,1.0,0.0,0,0,5,True
0,4,3,1,3,1,2,16,0.0,0.0,0,0,0,True
0,2,19,15,2,0,4,184,0.0,0.8125,1,1,14,True
1,6,4,3,5,1,0,6,0.0,0.0,0,0,1,False
0,31,128,39,4,30,0,1901,0.884615385,0.0,0,0,6,True
0,3,23,0,1,2,8,143,0.5,0.538461538,2,2,2,False
0,53,185,1998,18,46,0,2835,0.409836066,0.0,0,0,23,True
0,4,21,8,0,4,7,116,1.0,0.3,2,2,2,True
0,1,7,1,0,1,2,37,0.0,0.0,0,0,3,False
4,10,6,0,9,1,2,22,1.0,0.7142857140000001,0,0,1,True
0,0,8,3,0,0,1,27,0.0,0.0,0,0,2,False
2,12,2,0,12,0,0,8,0.0,0.0,0,0,0,False
0,11,18,9,10,1,5,65,1.0,0.7333333329999999,1,1,3,True
0,4,19,2,1,3,6,116,1.0,0.0,0,0,2,False
5,5,18,5,5,0,1,88,0.5,0.0,0,0,1,False
0,6,54,98,3,6,9,509,1.0,0.0,0,0,3,True
0,20,24,276,19,1,24,24,0.0,0.0,0,0,1,True
0,1,5,1,1,0,0,44,0.0,0.0,0,0,0,True
2,10,27,1,2,8,6,136,1.0,0.666666667,2,3,5,True
0,4,8,19,4,0,7,49,0.0,0.0,0,0,2,True
0,4,7,3,0,4,3,20,0.0,0.7777777779999999,2,3,1,False
0,3,12,3,0,3,6,69,1.0,0.5555555560000001,0,0,1,False
0,16,33,3,1,16,6,297,1.0,0.88372093,2,3,1,True
1,6,21,2,3,4,7,278,1.0,0.533333333,1,3,1,True
0,1,10,21,1,0,7,155,0.0,0.0,0,0,4,False
0,3,32,1,1,2,6,346,1.0,0.444444444,1,2,2,False
0,12,77,64,3,10,5,1021,0.818181818,0.0,0,0,2,True
0,17,58,37,4,17,4,751,0.0,0.35,0,0,5,True
0,14,45,79,2,12,6,629,1.0,0.0,0,0,4,True
0,13,24,69,0,13,12,723,0.571428571,0.454545455,0,0,1,False
0,6,22,1,0,6,2,172,0.0,0.0,0,0,1,False
1,6,9,21,2,5,1,15,0.0,0.0,0,0,1,True
0,8,8,15,2,8,1,30,0.0,0.444444444,0,0,1,False
0,4,7,3,2,2,3,28,0.0,0.0,0,0,2,False
3,16,3,1,15,1,2,5,0.0,0.0,0,0,1,True
0,2,2,0,1,1,0,18,0.0,0.0,0,0,0,False
0,2,4,0,0,2,2,33,1.0,0.0,0,0,3,False
1,41,21,64,41,0,11,197,1.0,0.0,0,0,4,True
0,17,5,10,17,0,5,5,0.0,0.0,0,0,1,True
0,7,14,0,3,4,0,108,0.333333333,0.0,0,0,5,True
0,2,10,5,1,2,5,1311,1.0,0.428571429,0,0,5,True
0,5,12,0,4,1,5,387,0.2,0.0,0,0,4,False
0,0,25,3,0,0,2,165,0.0,0.0,0,0,1,False
0,1,15,4,0,1,6,240,0.5,0.0,0,0,8,False
0,9,40,70,2,7,16,267,1.0,0.575757576,1,5,1,False
0,14,52,0,3,14,5,584,0.333333333,0.352941176,0,0,20,False
0,7,6,0,7,0,2,83,0.125,0.0,1,1,5,True
0,10,20,0,3,9,6,84,1.0,0.28571428600000004,2,2,2,True
0,9,18,0,2,8,7,228,0.5,0.7142857140000001,1,2,1,True
0,3,15,11,0,3,6,110,1.0,0.5555555560000001,0,0,4,False
0,4,15,0,1,3,6,113,1.0,0.615384615,1,3,1,True
0,12,66,99,3,9,2,1164,0.470588235,0.0,0,0,2,False
0,0,18,0,0,0,3,127,0.5,0.0,0,0,6,True
0,4,22,32,3,1,10,135,0.8,0.0,1,1,7,False
0,3,15,2,0,3,3,708,0.5,0.7,1,2,79,False
0,7,63,208,2,7,11,531,0.7692307690000001,0.08,0,0,4,True
0,3,5,0,2,2,1,33,1.0,0.923076923,1,4,1,False
0,4,8,0,0,4,3,28,1.0,0.5,1,1,1,True
0,1,16,99,1,0,14,3574,0.0,0.0,0,0,8,True
0,15,96,60,0,15,8,1498,0.5,0.0,0,0,3,True
0,3,17,19,3,1,0,133,0.5,0.0,0,0,2,False
0,2,6,10,1,1,4,15,0.0,0.5,1,2,1,False
0,8,2,0,8,0,1,5,0.0,1.0,0,0,0,False
0,12,22,61,11,1,13,175,0.0,0.0,0,0,3,True
0,12,10,2,2,12,5,74,0.0,0.5,0,0,3,True
0,44,392,6747,16,34,88,8474,0.7377049179999999,0.0,0,0,7,True
0,6,27,0,1,5,11,348,1.0,0.571428571,2,3,15,True
0,4,8,3,0,4,3,31,0.0,0.7142857140000001,1,2,1,True
0,9,16,91,9,0,14,228,0.0,0.0,0,0,2,True
1,4,22,0,1,3,1,481,1.0,0.0,0,0,2,False
0,9,41,2,1,9,15,386,0.333333333,0.6333333329999999,1,6,2,True
0,22,46,0,9,16,4,770,0.0,0.222222222,1,1,12,True
2,9,9,28,5,5,0,16,0.0,0.0,0,0,1,False
5,20,8,15,14,7,5,17,0.0,0.705882353,1,1,1,True
2,7,14,8,5,2,6,103,1.0,0.384615385,1,2,2,False
1,22,95,0,4,20,21,1118,1.0,0.7307692309999999,2,11,6,True
1,34,168,2716,1,33,44,3477,0.571428571,0.0,0,0,23,True
0,19,40,17,2,19,2,599,0.0,0.4,0,0,15,True
1,39,183,1464,13,33,28,2234,0.580645161,0.6050955410000001,2,15,30,True
0,5,8,3,1,4,3,31,0.0,0.7142857140000001,1,2,1,True
0,22,62,172,2,21,5,438,0.75,0.4,1,4,7,True
0,6,25,0,3,3,0,378,0.0,0.75,1,3,26,False
4,8,11,8,4,4,8,54,1.0,0.4166666670000001,2,2,4,True
7,23,3,1,23,0,2,5,0.0,0.0,0,0,1,True
0,13,25,46,3,11,3,364,0.0,0.352941176,0,0,14,False
2,5,9,21,5,1,6,18,0.0,0.0,0,0,1,False
0,7,32,0,1,7,12,224,1.0,0.566666667,2,2,6,True
0,5,15,4,1,4,2,133,0.5,0.7777777779999999,1,2,1,False
0,8,19,8,3,6,7,93,1.0,0.6315789470000001,2,3,5,True
0,14,31,0,0,14,13,120,1.0,0.6,0,0,1,True
0,12,57,0,0,12,23,200,1.0,0.73,1,9,1,True
0,2,27,18,1,1,6,567,1.0,0.0,0,0,8,True
0,3,11,3,1,3,2,30,0.0,0.958333333,1,1,1,True
0,5,9,3,2,3,0,47,0.0,0.857142857,1,3,4,False
0,21,37,0,8,16,2,340,0.333333333,0.5,0,0,1,True
0,4,22,0,3,1,14,227,1.0,0.0,1,1,6,False
0,4,7,0,2,3,3,36,0.0,0.666666667,0,0,1,False
0,10,7,10,3,8,3,28,0.0,0.5,0,0,1,False
0,6,25,0,3,3,10,180,1.0,0.0,0,0,3,True
0,6,6,10,2,5,4,11,0.0,0.0,0,0,1,True
0,23,47,0,10,16,7,1605,0.291666667,0.181818182,0,0,12,False
0,16,69,0,0,16,24,801,1.0,0.701923077,1,9,4,True
0,3,2,0,3,0,1,5,0.0,1.0,0,0,0,False
1,7,25,0,2,5,5,190,1.0,0.571428571,1,3,1,True
0,10,48,0,3,9,13,359,1.0,0.5862068970000001,2,2,7,True
0,13,46,32,2,12,3,409,0.5,0.4166666670000001,0,0,1,False
0,4,10,0,2,2,0,182,1.0,0.625,1,1,2,False
0,5,30,0,1,4,0,227,0.0,0.0,0,0,7,True
0,5,51,253,1,4,7,3060,0.21052631600000002,0.0,0,0,112,True
0,7,7,3,4,5,2,21,0.0,0.0,0,0,1,True
1,11,20,9,5,7,6,74,0.0,0.666666667,2,3,4,True
5,38,8,15,37,1,6,21,0.0,0.0,0,0,1,True
2,3,15,8,2,2,7,48,0.0,0.5,1,1,1,False
0,7,17,0,2,7,5,71,1.0,0.333333333,1,1,1,False
0,13,42,0,2,11,2,599,0.571428571,0.0,0,0,1,True
0,10,31,0,1,9,7,409,1.0,0.5,1,3,2,True
0,7,12,1,0,7,1,52,0.0,0.947368421,0,0,5,True
0,7,21,9,2,6,6,120,0.333333333,0.705882353,2,3,6,True
0,19,77,170,3,17,0,1041,0.846153846,0.0,0,0,5,True
9,12,14,8,12,0,9,293,1.0,0.0,0,0,7,True
15,54,39,72,51,7,12,249,1.0,0.0,0,0,9,True
0,5,18,4,4,3,4,112,1.0,0.0,0,0,2,True
2,53,26,124,51,4,16,94,1.0,0.0,0,0,1,True
0,9,28,0,1,8,6,149,1.0,0.705882353,2,3,4,True
0,5,32,10,3,3,9,245,0.1875,0.4375,2,3,1,True
0,3,19,2,0,3,5,188,0.8,0.625,0,0,18,False
0,7,21,9,2,6,6,120,0.333333333,0.705882353,2,3,6,True
0,6,21,0,1,6,5,90,0.666666667,0.5,2,2,3,False
0,2,10,0,0,2,4,83,0.0,0.0,0,0,2,False
0,1,44,13,1,0,13,1158,1.0,0.0,0,0,26,False
0,25,4,6,24,1,4,4,0.0,0.0,0,0,1,False
0,4,9,0,2,3,3,31,0.5,0.25,0,0,1,True
2,28,17,19,26,2,5,72,0.0,0.0,0,0,1,True
0,8,29,0,0,8,7,118,1.0,0.333333333,1,1,3,True
0,8,38,0,1,7,9,695,1.0,0.222222222,2,2,14,True
0,2,2,1,1,1,2,2,0.0,0.0,0,0,1,False
0,6,21,0,1,6,5,97,0.333333333,0.5,2,2,3,False
0,4,16,0,1,3,6,179,1.0,0.571428571,1,3,1,True
0,4,18,2,0,4,2,78,0.333333333,0.7777777779999999,1,2,1,False
0,10,44,1,2,8,0,658,0.523809524,0.0,0,0,7,True
0,3,15,0,1,2,0,158,1.0,0.5625,1,3,1,False
1,22,53,0,2,21,14,577,1.0,0.605263158,1,5,6,True
0,11,39,0,4,7,4,394,0.533333333,0.294117647,1,2,1,False
0,13,48,12,4,10,13,413,1.0,0.428571429,2,4,7,True
0,4,27,7,4,0,4,135,0.5,0.0,0,0,5,True
0,5,26,80,2,5,8,207,0.857142857,0.083333333,0,0,2,True
1,7,7,15,4,4,0,9,0.0,0.0,0,0,1,False
0,6,7,0,1,5,3,123,1.0,0.625,0,0,5,False
1,7,37,0,2,5,9,357,1.0,0.444444444,1,3,1,True
0,2,1,0,2,0,0,179,0.0,0.0,0,0,0,False
1,7,8,21,4,4,0,15,0.0,0.0,0,0,1,False
0,24,64,72,1,24,2,856,0.2,0.38888888899999996,1,1,4,True
0,14,43,10,4,13,5,498,0.0,0.352941176,0,0,9,True
0,3,5,0,1,2,3,27,0.0,0.892857143,1,2,1,True
0,11,10,2,11,0,8,83,0.666666667,0.0,1,1,5,True
0,7,21,9,2,6,6,120,0.333333333,0.705882353,2,3,6,True
2,5,3,1,2,3,2,5,0.0,0.666666667,0,0,1,False
1,7,13,0,2,5,4,117,1.0,0.25,0,0,4,True
0,5,7,0,4,1,3,106,0.14285714300000002,0.0,0,0,2,False
0,4,8,3,0,4,3,31,0.0,0.7142857140000001,1,2,1,True
2,18,97,114,8,10,24,1037,0.8,0.41304347799999996,1,8,3,True
0,3,19,7,0,3,3,107,0.5,0.636363636,2,3,1,True
0,7,18,0,6,2,10,104,1.0,0.0,1,1,4,False
0,2,3,3,2,0,3,3,0.0,0.0,0,0,1,False
0,2,12,0,1,1,5,82,0.5,0.5,1,2,1,False
0,4,7,6,1,3,4,24,1.0,0.571428571,0,0,1,False
1,23,2,0,23,0,1,12,0.0,0.0,0,0,0,True
1,4,15,0,3,1,7,133,1.0,0.0,0,0,4,False
3,8,7,15,6,2,6,12,0.0,0.0,1,1,1,False
0,3,12,2,0,3,2,79,0.0,0.7777777779999999,1,2,1,False
0,24,41,0,4,20,14,205,0.5,0.6764705879999999,1,3,1,True
0,3,18,0,2,1,4,408,0.4,0.8666666670000001,1,1,14,True
0,3,8,3,1,2,5,54,0.0,0.833333333,1,2,1,True
0,48,6,15,45,4,6,6,0.0,0.0,0,0,1,True
17,40,10,13,36,4,4,44,1.0,0.375,0,0,1,True
4,128,131,2812,104,25,62,722,0.571428571,0.0,0,0,12,True
0,2,29,100,2,1,12,569,1.0,0.538461538,2,11,6,True
1,5,4,3,5,0,0,6,0.0,0.0,0,0,1,False
0,10,16,0,1,9,2,238,0.14285714300000002,0.0,0,0,1,False
0,3,14,4,2,1,4,145,0.666666667,0.0,0,0,7,False
0,3,4,1,2,1,1,9,0.0,0.9285714290000001,1,1,1,True
1,12,69,0,9,4,54,1531,1.0,0.018867925,1,1,8,True
0,8,29,0,5,3,9,1538,1.0,0.0,0,0,10,True
3,7,34,140,3,4,21,593,1.0,0.0,0,0,20,True
0,7,38,0,2,6,11,318,1.0,0.5,2,5,6,True
4,12,8,17,11,1,5,28,1.0,0.0,0,0,1,False
4,14,5,6,14,0,4,7,0.0,0.0,0,0,1,True
0,15,34,26,3,14,5,480,0.9285714290000001,0.0,0,0,4,True
0,8,29,26,1,7,7,461,1.0,0.444444444,1,3,2,True
1,10,28,0,2,8,10,122,1.0,0.653846154,2,2,4,True
0,1,6,3,1,0,2,62,0.0,0.0,0,0,4,False
0,4,6,0,3,1,5,35,1.0,0.0,0,0,1,False
0,3,17,0,1,2,6,236,0.875,0.708333333,1,4,2,False
3,41,29,270,30,14,23,138,1.0,0.0,0,0,1,True
0,6,8,4,2,5,2,42,0.0,0.896551724,1,1,4,True
6,15,10,9,14,1,4,31,1.0,0.0,0,0,1,True
0,5,17,3,2,3,4,102,1.0,0.571428571,0,0,2,True
0,2,2,0,2,0,1,5,0.0,1.0,0,0,0,False
8,9,6,0,8,1,2,20,1.0,0.7142857140000001,0,0,1,True
0,9,19,0,2,9,5,146,0.0,0.444444444,0,0,3,False
0,8,15,1,6,2,5,969,0.363636364,0.0,0,0,14,True
0,5,4,1,3,2,0,51,0.0,0.923076923,1,3,6,False
2,9,34,0,2,7,6,345,1.0,0.4,1,3,3,True
0,5,11,3,0,5,3,55,1.0,0.958333333,1,2,1,True
0,10,36,0,0,10,18,242,0.666666667,0.384615385,1,2,1,True
0,11,33,26,9,2,11,332,0.666666667,0.566666667,1,5,2,False
0,5,2,0,5,0,1,5,0.0,1.0,0,0,0,False
0,12,15,11,4,12,5,84,0.4,0.705882353,0,0,1,True
0,1,8,6,1,0,4,20,0.0,1.0,0,0,0,False
0,29,5,0,29,0,1,172,0.0,0.0,0,0,8,True
2,14,34,10,3,12,8,455,0.875,0.0,0,0,1,True
0,15,2,1,14,1,2,2,0.0,0.0,0,0,1,True
0,2,10,0,1,2,4,60,1.0,0.0,0,0,2,False
0,16,56,104,5,15,10,500,1.0,0.32,1,3,5,True
0,10,43,0,4,7,11,382,1.0,0.46153846200000004,2,3,9,True
0,25,77,43,23,2,45,1122,0.23076923100000002,0.0,1,1,12,True
0,15,36,4,0,15,2,356,1.0,0.0,0,0,1,True
0,6,1,0,4,2,1,1,0.0,0.0,0,0,1,True
1,9,6,10,6,4,0,8,0.0,0.0,0,0,1,False
0,4,12,2,0,4,2,58,0.0,0.7777777779999999,1,2,1,False
0,4,25,0,1,3,7,447,1.0,0.444444444,1,3,6,True
0,5,12,2,2,3,2,354,0.0,0.0,0,0,10,True
0,5,27,9,2,3,4,186,1.0,0.5,0,0,2,True
1,2,16,0,1,1,8,56,1.0,0.681818182,1,2,1,True
0,4,8,0,1,3,3,43,1.0,0.666666667,0,0,1,True
0,4,15,0,1,4,6,102,0.75,0.14285714300000002,0,0,3,True
0,9,22,0,8,1,14,286,0.222222222,0.0,0,0,7,True
1,4,18,0,1,3,6,162,1.0,0.28571428600000004,2,2,2,True
0,4,2,1,2,2,2,2,0.0,0.0,0,0,1,False
0,2,25,3,1,1,13,237,0.0,0.0,0,0,1,False
0,5,20,5,1,4,5,247,0.0,0.7222222220000001,1,4,16,True
3,9,18,66,7,2,12,78,0.0,0.0,1,1,4,True
0,6,29,38,2,4,11,178,0.6,0.46666666700000003,1,2,1,True
0,3,24,0,2,2,12,361,1.0,0.0,0,0,7,True
0,3,10,21,3,1,7,54,0.0,0.7142857140000001,1,2,1,False
0,24,37,7,9,18,4,276,0.0,0.333333333,0,0,4,False
0,6,6,3,3,5,0,22,0.0,0.992366412,1,2,1,True
