dit,rfc,lcom,ca,npm,lcom3,loc,dam,cbm,bug
2,60,90,1,38,0.838141026,786,0.9375,6,True
1,36,164,31,18,0.842105263,141,1.0,0,False
1,52,86,4,16,0.673913043,451,0.833333333,0,True
2,28,72,1,14,0.933333333,254,0.333333333,6,True
2,20,4,2,7,0.8,148,0.6,2,True
2,21,49,2,9,0.85,106,0.5,6,True
3,4,1,5,3,2.0,24,0.0,0,False
2,59,20,2,4,0.8214285709999999,267,1.0,1,False
1,24,6,2,11,0.787878788,156,0.0,0,True
2,37,0,7,6,0.35714285700000004,278,1.0,1,True
1,30,88,1,14,0.683333333,250,0.0,0,True
2,51,89,3,22,0.721088435,417,0.857142857,2,True
2,40,258,4,23,0.7583333329999999,390,0.8,6,True
2,85,611,1,60,0.953972257,1390,0.5,6,True
2,32,79,4,13,0.7857142859999999,251,0.666666667,6,True
2,37,0,1,18,0.684210526,321,0.833333333,6,True
1,0,0,0,0,2.0,4,0.0,0,False
2,20,0,2,10,0.0,53,1.0,2,True
2,22,54,2,10,0.818181818,117,0.5,6,True
1,244,0,6,79,0.9259510870000001,1441,0.4375,0,True
1,1,0,6,1,2.0,1,0.0,0,False
3,126,130,3,10,1.047117794,1170,0.019047619,7,True
1,183,89,4,45,0.878216123,1831,0.727272727,0,True
2,52,479,2,35,0.8986486490000001,536,0.9375,6,True
2,42,209,3,24,0.846153846,372,0.9,6,True
2,19,0,2,6,0.8214285709999999,324,1.0,2,False
1,4,6,4,4,2.0,4,0.0,0,False
2,22,46,4,10,0.818181818,127,0.5,6,True
2,11,6,4,4,2.0,61,0.0,0,True
2,61,312,1,42,0.860465116,933,0.944444444,6,True
1,13,0,2,4,0.5,107,1.0,0,False
2,22,54,2,10,0.818181818,117,0.5,6,True
2,38,21,2,18,0.685185185,284,0.833333333,2,True
2,25,43,2,9,0.8,182,0.0,6,True
1,23,105,155,12,2.0,84,0.0,0,True
2,27,46,1,11,0.7777777779999999,201,0.333333333,6,True
1,24,53,1,6,1.033333333,241,1.0,0,False
2,22,46,2,10,0.818181818,128,0.5,6,True
1,13,42,15,12,0.818181818,62,0.0,0,False
1,44,0,5,20,0.976666667,153,0.133333333,0,True
1,4,6,6,4,2.0,4,0.0,0,False
1,25,7,2,4,0.75,230,1.0,0,True
3,2,0,3,1,2.0,13,0.0,0,False
1,18,0,1,4,0.222222222,129,1.0,1,False
2,24,46,1,10,0.818181818,141,0.5,6,True
2,13,36,2,9,1.125,62,0.0,0,True
2,23,6,3,12,0.672727273,154,0.0,1,True
2,20,0,0,4,0.5,138,1.0,1,False
2,33,43,1,15,0.833333333,258,0.666666667,5,False
1,27,15,1,5,2.0,264,0.0,0,False
1,30,0,4,4,0.333333333,212,0.0,0,False
3,8,10,1,4,1.25,26,0.0,2,True
1,30,88,1,14,0.683333333,250,0.0,0,False
3,181,0,0,85,0.5,2890,0.5,20,True
1,12,3,11,10,0.333333333,69,1.0,0,False
2,28,111,2,16,0.776470588,231,0.8,6,True
1,17,78,2,16,0.533333333,172,1.0,0,False
2,26,57,3,12,0.7692307690000001,195,0.666666667,6,True
2,41,258,7,23,0.7583333329999999,389,0.8,6,True
1,26,4,3,2,0.833333333,193,1.0,0,True
2,41,4,1,8,0.875,302,0.5,5,True
1,4,0,1,2,0.0,14,0.0,0,False
2,16,55,2,11,1.1,96,0.333333333,0,True
1,28,15,5,3,2.0,191,0.0,0,True
2,34,87,3,12,0.8714285709999999,230,0.8,5,True
2,41,66,4,15,0.85,319,0.4,6,True
2,8,21,1,7,1.166666667,32,0.5,2,True
2,44,106,4,15,0.760416667,483,0.5,6,True
2,19,5,2,8,0.740740741,223,1.0,2,False
1,20,1,1,2,2.0,175,0.0,0,False
2,22,46,2,10,0.818181818,128,0.0,6,True
1,0,0,2,0,2.0,10,0.0,0,False
3,17,0,2,6,0.8888888890000001,120,0.333333333,5,True
1,43,28,0,6,0.6875,416,1.0,0,True
1,22,0,1,5,0.166666667,88,1.0,0,True
2,14,9,5,5,0.5,48,1.0,0,False
1,78,0,2,38,0.923684211,234,0.0,0,False
1,36,1,2,2,2.0,137,0.0,0,False
2,18,54,4,8,0.924242424,222,1.0,2,False
2,55,281,0,31,0.940909091,567,0.545454545,5,False
1,0,0,1,0,2.0,5,0.0,0,False
2,22,66,2,11,0.805555556,140,0.666666667,6,True
2,26,69,4,12,0.7435897440000001,188,0.666666667,6,True
2,32,74,5,13,0.75,224,0.75,6,True
1,22,0,1,0,0.333333333,163,1.0,0,False
1,21,9,2,11,0.25,92,1.0,0,False
2,32,114,1,18,0.7894736840000001,357,0.833333333,6,True
2,42,0,1,22,0.818181818,423,0.636363636,6,True
2,35,169,5,20,0.946778711,316,0.352941176,6,True
1,6,0,1,5,0.583333333,43,1.0,0,False
1,17,0,1,7,0.5,234,1.0,0,True
3,9,10,1,5,1.25,28,0.0,3,True
1,6,6,4,1,2.0,15,0.0,0,False
3,50,155,6,28,0.975369458,622,0.23809523800000001,6,True
1,1,0,9,1,2.0,1,0.0,0,False
2,18,45,3,8,1.111111111,79,0.0,6,True
2,57,196,1,34,0.90931677,744,0.565217391,6,True
2,25,77,3,11,0.8615384620000001,212,0.8,5,True
1,37,66,15,10,1.0909090909999999,494,1.0,0,True
2,22,54,2,10,0.981818182,120,0.2,6,True
2,17,36,1,7,1.125,72,0.0,6,True
2,27,6,5,9,0.875,180,0.333333333,5,False
2,37,219,2,21,0.8506493509999999,345,0.857142857,5,True
2,26,69,4,12,0.7435897440000001,187,0.666666667,6,True
2,53,100,2,28,0.75,556,0.8888888890000001,2,True
1,4,6,1,4,2.0,4,0.0,0,True
1,0,0,0,0,2.0,7,0.0,0,False
2,48,38,3,17,0.822916667,419,0.666666667,5,False
2,13,36,2,9,1.125,58,0.0,0,True
1,20,0,10,9,0.25,294,1.0,1,False
1,22,3,1,6,0.75,111,1.0,0,False
2,47,175,1,20,0.6309523810000001,475,0.0,5,True
2,39,106,2,25,0.7537878790000001,487,0.9090909090000001,0,True
1,42,325,10,22,1.04,693,0.0,0,False
1,12,8,0,7,0.8214285709999999,129,0.083333333,0,True
3,6,0,3,5,2.0,37,0.0,0,False
2,48,6,1,2,0.916666667,439,0.666666667,1,True
1,56,15,50,6,1.2,923,1.0,0,True
2,51,228,6,20,0.770833333,419,0.833333333,6,True
1,5,3,3,2,2.0,43,0.0,0,False
2,18,39,2,9,0.851851852,78,0.333333333,2,True
1,10,0,5,3,0.25,78,1.0,0,True
1,21,9,2,11,0.25,92,1.0,0,False
2,33,32,7,11,1.0340909090000001,320,0.125,5,True
1,0,0,0,0,2.0,4,0.0,0,False
2,22,46,2,10,0.818181818,127,0.5,6,True
1,8,1,0,2,2.0,27,0.0,0,False
2,11,4,1,2,0.833333333,108,1.0,1,False
2,13,36,2,9,1.125,64,0.0,0,True
1,46,123,1,4,0.659090909,668,1.0,0,True
3,7,4,4,5,0.5,29,1.0,0,True
4,7,4,5,5,0.5,29,1.0,0,True
2,40,142,3,18,0.798245614,342,0.833333333,6,True
2,23,46,2,10,0.818181818,122,0.5,6,True
1,4,3,1,3,2.0,7,0.0,0,False
2,39,49,3,13,0.75,369,0.5,6,True
2,25,87,2,13,0.8035714290000001,143,0.75,6,True
2,21,43,2,9,0.85,117,0.5,6,True
2,31,138,2,18,0.8270676690000001,306,0.857142857,6,True
2,36,11,1,2,0.8,173,1.0,1,False
1,15,4,6,2,0.333333333,55,1.0,0,False
1,45,36,1,5,2.0,3581,0.0,0,False
2,117,3214,5,93,0.9811945590000001,1478,0.483146067,6,True
2,13,36,2,9,1.125,60,0.333333333,0,True
2,13,36,2,9,1.125,62,0.0,0,True
2,37,88,1,18,0.763157895,348,0.833333333,6,True
5,8,6,1,4,2.0,20,0.0,0,True
2,16,10,4,5,2.0,50,0.0,0,False
2,4,0,8,2,1.125,22,0.0,0,True
2,33,65,2,12,0.7435897440000001,229,0.666666667,6,True
1,19,84,11,16,0.994047619,152,0.0,0,False
1,35,60,63,8,0.333333333,618,0.666666667,0,False
2,14,45,2,10,1.111111111,59,0.333333333,0,True
2,17,25,2,8,0.8,126,0.5,5,True
1,56,9,4,5,0.7222222220000001,743,1.0,0,True
3,14,41,5,11,0.916666667,66,0.0,0,False
2,34,41,1,12,0.711538462,225,0.0,5,True
2,32,52,4,11,0.933333333,1216,0.4,6,True
2,30,54,4,14,0.7,388,0.0,1,False
2,2,0,1,1,2.0,4,0.0,0,False
2,27,57,1,12,0.7692307690000001,195,0.666666667,6,True
5,8,6,0,4,2.0,20,0.0,0,True
3,10,3,6,1,2.0,27,0.0,1,False
2,67,22,1,22,0.5,961,0.0,5,True
2,12,10,1,5,2.0,32,0.0,0,False
1,16,1,1,2,2.0,231,0.0,0,False
1,21,0,2,4,0.5,149,1.0,0,False
2,41,38,1,22,0.75,429,0.875,6,True
2,21,49,3,9,0.85,106,0.5,6,True
1,1,0,3,1,2.0,1,0.0,0,False
2,46,117,1,24,0.9363636359999999,505,0.363636364,6,True
2,24,46,1,10,0.981818182,144,0.2,6,True
2,50,244,3,22,0.90821256,402,0.444444444,5,True
1,5,0,1,1,0.0,49,1.0,0,False
3,18,45,6,8,1.111111111,86,0.0,6,True
2,24,36,1,10,0.772727273,143,0.5,6,True
2,31,102,3,11,0.933333333,9857,0.75,0,True
1,1,0,19,1,2.0,1,0.0,0,False
2,35,114,1,18,0.8771929820000001,360,0.5555555560000001,6,True
1,95,106,10,13,0.35416666700000005,461,1.0,0,False
2,24,64,1,11,0.8833333329999999,143,0.6,6,True
2,65,94,3,15,0.649122807,327,1.0,1,False
2,7,6,4,5,2.0,46,0.0,1,False
1,30,3,0,2,2.0,315,0.0,0,True
2,23,46,2,10,0.818181818,122,0.5,6,True
1,4,3,2,3,2.0,8,0.0,0,False
2,13,36,2,9,1.125,59,0.0,0,True
2,18,45,1,8,1.111111111,87,0.0,6,True
1,55,0,9,14,0.5,453,1.0,0,False
1,10,45,13,10,2.0,10,0.0,0,False
2,17,36,2,7,1.125,72,0.0,6,True
2,35,114,1,18,0.855263158,359,0.625,6,True
1,1,0,1,1,2.0,1,0.0,0,False
1,1,0,13,1,2.0,1,0.0,0,False
2,22,0,7,8,0.35,180,1.0,6,True
1,2,1,19,2,2.0,2,0.0,0,False
2,24,46,1,10,0.818181818,141,0.5,6,True
3,29,171,1,19,1.0555555559999998,128,0.0,0,True
1,1,0,3,1,2.0,1,0.0,0,False
2,31,91,1,16,0.776470588,303,0.8,6,True
2,22,46,3,10,0.818181818,128,0.5,6,True
1,4,1,2,1,2.0,39,0.0,0,False
2,46,25,8,11,0.957142857,366,0.14285714300000002,6,False
2,56,511,4,35,0.938063063,604,0.625,6,True
2,24,46,1,10,0.818181818,141,0.5,6,True
1,19,107,34,18,0.382352941,170,1.0,0,False
2,19,0,0,10,0.0,86,1.0,2,False
2,46,153,1,24,0.8,501,0.8888888890000001,6,True
2,21,49,2,9,0.975,108,0.25,6,True
1,300,2749,45,48,0.914285714,3446,1.0,0,True
1,8,15,2,6,1.2,139,0.0,0,True
2,14,45,2,10,1.111111111,67,0.333333333,0,True
2,24,253,1,23,2.0,49,0.0,2,False
4,8,6,2,4,2.0,20,0.0,0,False
2,64,312,1,32,0.9092741940000001,614,0.8125,5,False
2,21,49,2,9,1.0,109,0.2,6,True
2,24,69,2,12,0.7692307690000001,155,0.666666667,6,True
1,14,19,3,6,0.611111111,71,1.0,0,False
2,18,33,2,9,0.8666666670000001,89,0.6,2,True
1,8,0,3,3,0.0,32,0.0,0,False
2,80,470,6,32,0.8634259259999999,866,0.833333333,6,True
1,15,21,1,11,0.533333333,90,1.0,0,False
3,153,3060,0,72,0.839059675,838,1.0,20,False
3,15,15,1,6,1.178378378,287,0.054054054000000004,2,True
2,24,46,0,10,0.818181818,141,0.5,6,True
1,5,0,2,2,0.0,42,0.0,0,True
1,4,6,5,4,2.0,4,0.0,0,False
2,34,141,1,20,0.957393484,423,0.31578947399999996,6,True
1,10,1,1,0,2.0,82,0.0,0,False
2,12,22,1,7,0.8857142859999999,102,0.8,2,True
2,9,14,5,6,0.7857142859999999,73,0.0,0,False
1,141,651,3,7,0.766925638,1861,0.705882353,0,True
2,35,1,1,16,0.670588235,276,0.8,6,True
1,19,0,7,8,0.642857143,333,0.5,0,True
1,1,0,6,1,2.0,1,0.0,0,False
2,41,82,1,22,0.766304348,438,0.875,6,True
1,16,4,1,4,0.333333333,82,0.0,0,True
2,29,43,2,9,0.85,154,0.5,6,True
2,21,43,2,9,0.85,117,0.0,6,True
2,21,49,2,9,0.933333333,107,0.333333333,6,True
2,60,255,1,36,0.924924925,801,0.518518519,6,True
2,101,665,1,41,0.836956522,997,1.0,18,False
3,19,0,2,7,1.142857143,161,0.5,5,True
1,29,0,0,24,0.38888888899999996,629,1.0,1,False
2,14,45,2,10,1.111111111,52,0.5,0,True
1,8,1,2,2,2.0,24,0.0,0,False
2,22,46,3,10,0.818181818,128,0.5,6,True
3,65,0,3,9,0.375,644,0.0,5,True
1,29,0,4,24,0.38888888899999996,629,1.0,1,False
2,21,43,2,9,0.85,106,0.5,6,True
1,9,36,5,9,2.0,9,0.0,0,False
1,89,0,4,41,1.0,361,0.066666667,0,True
1,1,0,3,1,2.0,1,0.0,0,False
2,24,56,2,11,0.7777777779999999,141,0.666666667,6,True
2,23,46,2,10,0.818181818,122,0.5,6,True
2,12,3,2,9,0.916666667,87,0.5,2,True
1,32,20,2,8,0.625,291,1.0,0,False
2,21,49,2,9,0.85,106,0.5,6,True
2,49,0,8,11,0.757575758,269,0.333333333,5,False
2,24,46,1,10,1.0,145,0.166666667,6,True
2,50,327,2,28,0.7758620690000001,505,0.833333333,6,True
2,35,37,1,16,0.8067226890000001,287,0.571428571,6,True
1,51,3,0,6,0.083333333,282,1.0,0,False
2,13,36,2,9,1.125,62,0.0,0,True
1,24,4,1,2,0.333333333,146,1.0,0,False
2,23,46,2,10,0.818181818,122,0.5,6,True
2,74,94,3,20,0.897435897,490,0.384615385,7,True
1,45,5,1,6,0.55,247,0.0,0,True
1,35,16,2,8,0.727272727,359,0.5555555560000001,0,True
2,12,4,0,4,0.666666667,44,1.0,1,False
2,15,4,3,5,0.428571429,90,1.0,1,False
2,41,6,1,2,0.75,181,1.0,1,False
2,40,103,2,16,0.848739496,327,0.0,6,True
2,64,162,3,46,0.861702128,891,0.95,6,True
1,29,1,7,1,0.0,257,1.0,0,False
4,8,6,3,4,2.0,20,0.0,0,True
2,87,1362,17,17,0.927083333,1806,1.0,7,False
2,6,10,20,5,1.25,13,0.0,0,False
1,19,15,2,5,2.0,171,0.0,0,True
2,17,36,1,7,1.125,72,0.0,6,True
1,35,198,1,28,0.841750842,388,1.0,0,True
2,66,664,4,46,0.902083333,728,0.95,6,True
2,24,46,1,10,0.818181818,141,0.5,6,True
2,21,43,2,9,0.85,116,0.5,6,True
2,61,367,1,36,0.854054054,807,0.933333333,6,True
2,39,204,2,21,0.8826086959999999,418,0.7,6,True
2,60,187,4,34,0.747474747,728,0.8888888890000001,3,True
2,44,171,3,28,0.863888889,406,0.916666667,6,True
2,13,36,2,9,1.125,62,0.0,0,True
1,17,9,4,11,0.25,85,1.0,0,False
1,21,3,0,2,2.0,112,0.0,0,False
1,24,1,1,1,0.75,121,1.0,0,False
2,22,46,3,10,0.818181818,128,0.5,6,True
1,4,6,1,4,2.0,4,0.0,0,False
1,5,0,3,3,0.666666667,28,1.0,0,False
2,33,81,1,16,0.764705882,308,0.8,6,True
3,13,3,2,10,0.7222222220000001,73,0.5,2,True
1,11,0,2,5,0.0,170,1.0,0,True
1,34,0,2,10,0.566666667,210,1.0,0,False
1,16,9,5,3,1.164242424,1460,0.0036363640000000004,0,False
2,21,49,2,9,0.85,106,0.5,6,True
1,2,0,1,0,2.0,6,0.0,0,False
2,21,43,2,9,0.85,116,0.5,6,True
2,32,0,2,9,0.125,172,0.0,1,False
1,31,3,1,9,0.222222222,183,0.0,0,True
1,65,290,13,18,0.9626485570000001,732,1.0,0,False
1,30,34,6,9,0.690909091,306,1.0,0,True
2,28,61,4,11,0.807692308,245,0.5,5,True
1,41,21,4,14,0.564102564,243,0.0,0,True
2,22,2,2,8,0.666666667,202,0.166666667,2,True
2,23,54,2,10,0.9090909090000001,117,0.333333333,6,True
2,47,28,1,11,0.636363636,353,1.0,6,False
2,46,105,1,20,0.920634921,422,0.4,6,True
1,5,0,1,4,1.125,33,0.25,0,False
4,8,6,2,4,2.0,20,0.0,0,True
2,22,54,2,10,0.954545455,119,0.25,6,True
1,20,0,2,3,0.369047619,441,1.0,0,True
2,32,72,3,15,0.791666667,282,0.833333333,6,True
2,24,46,1,10,0.818181818,141,0.5,6,True
2,22,46,2,10,0.818181818,127,0.5,6,True
3,28,120,1,16,1.066666667,104,0.0,0,True
1,6,15,6,6,2.0,6,0.0,0,False
2,14,45,2,10,1.111111111,67,0.333333333,0,True
3,34,19,2,13,1.076923077,379,1.0,4,True
1,30,48,2,9,0.818181818,322,1.0,0,True
3,9,10,1,5,1.25,28,0.0,3,True
1,0,0,4,0,2.0,0,0.0,0,False
3,15,26,2,7,0.857142857,219,0.25,1,True
2,23,0,7,8,0.14285714300000002,115,1.0,1,False
2,41,0,0,22,0.7173913040000001,411,0.875,6,True
1,6,2,3,4,0.75,36,1.0,0,False
3,7,4,3,5,0.5,29,1.0,0,False
3,24,0,2,8,0.666666667,171,0.5,6,True
1,17,0,3,3,0.0,116,1.0,0,False
1,2,0,0,1,2.0,51,0.0,0,True
1,165,62,1,5,0.818181818,1358,0.5,0,True
2,54,348,6,35,0.843253968,661,0.9285714290000001,6,True
1,25,24,6,8,0.8636363640000001,319,1.0,0,False
2,22,54,2,10,0.818181818,117,0.5,6,True
2,48,44,4,13,0.75,298,1.0,6,True
2,24,46,0,10,0.818181818,141,0.5,6,True
1,104,87,5,22,0.7482758620000001,1151,0.6,0,True
2,30,107,2,16,0.794117647,259,0.833333333,6,True
1,24,2,0,4,0.666666667,117,0.0,0,False
1,56,197,4,16,0.8138528140000001,378,0.545454545,0,True
1,17,0,2,7,0.571428571,134,1.0,0,False
2,32,114,2,18,0.894736842,361,0.5,6,True
1,53,331,3,24,0.8735632179999999,767,0.0,0,True
1,2,1,5,2,2.0,2,0.0,0,False
1,376,6636,5,95,0.9423564190000001,3629,0.72972973,0,True
1,1,0,6,1,2.0,1,0.0,0,False
2,23,25,3,9,0.8,183,0.5,6,True
1,28,0,2,7,0.571428571,426,1.0,0,True
1,43,595,184,32,2.0,379,0.0,0,True
2,8,21,0,7,1.0,26,1.0,2,True
1,2,1,5,2,2.0,2,0.0,0,False
2,21,49,2,9,0.933333333,106,0.333333333,6,True
2,15,45,2,10,1.111111111,59,0.333333333,0,True
2,31,43,1,15,0.833333333,229,0.666666667,5,False
3,8,10,2,4,1.25,26,0.0,2,True
2,51,0,3,26,0.731481481,237,0.75,6,True
2,23,0,10,11,0.642857143,271,1.0,2,False
2,14,33,1,11,0.9,66,0.75,2,True
1,62,15,2,6,0.644444444,785,1.0,0,True
2,47,195,3,27,0.875,484,0.833333333,5,True
2,36,221,5,21,0.727272727,350,0.75,6,True
2,39,1,8,12,0.692307692,243,0.5,6,True
3,8,10,1,4,1.25,26,0.0,2,True
1,9,0,1,3,0.0,86,0.0,0,False
2,29,34,2,13,0.854166667,179,0.5,5,False
2,23,66,2,11,0.805555556,140,0.666666667,6,True
2,13,36,2,9,1.125,62,0.0,0,True
1,56,60,25,12,1.0,415,0.25,0,True
1,20,9,2,7,0.833333333,173,1.0,0,True
2,14,45,2,10,1.111111111,63,0.333333333,0,True
2,21,49,2,9,0.933333333,107,0.333333333,6,True
2,108,1491,5,56,0.957965532,1287,0.487179487,6,True
1,4,6,3,4,2.0,4,0.0,0,False
2,35,109,1,17,0.817460317,265,0.857142857,6,True
1,49,0,0,4,0.0,492,1.0,0,True
2,17,30,3,6,0.75,55,1.0,1,False
4,2,0,140,1,2.0,5,0.0,0,False
1,8,1,0,2,2.0,28,0.0,0,True
2,10,9,2,7,0.944444444,69,0.666666667,2,True
2,32,43,1,15,0.833333333,253,0.666666667,5,False
