wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug
15,18,52,3,15,271,4,0,16.53333333,13,True
3,2,8,1,1,60,0,0,15.0,0,False
15,23,33,18,5,229,0,0,14.06666667,4,True
2,6,5,2,4,14,0,0,6.0,1,False
2,11,2,8,3,2,0,0,0.0,1,True
4,8,29,0,8,141,0,0,34.0,6,False
4,7,19,1,7,78,1,1,18.25,5,True
51,4,71,1,3,481,0,0,8.274509804,3,False
14,14,46,5,9,544,0,0,37.28571429,8,False
4,4,31,4,0,179,0,0,42.75,4,False
2,16,30,2,14,373,0,0,185.5,25,False
17,23,77,4,19,673,6,0,37.76470588,30,False
3,10,25,0,10,139,0,0,45.33333333,10,False
10,33,10,30,5,10,0,0,0.0,1,False
20,31,107,3,29,844,1,0,40.6,39,True
15,12,73,0,12,609,0,3,39.4,9,False
3,8,24,0,8,114,0,0,37.0,7,False
17,14,58,2,12,444,2,0,24.64705882,12,True
3,11,25,0,11,156,0,0,51.0,12,False
3,7,15,0,7,46,0,0,14.33333333,3,False
2,5,30,3,3,183,0,5,90.5,9,True
5,20,51,4,16,319,1,3,62.6,23,True
12,10,12,7,3,12,0,0,0.0,1,False
10,14,35,7,7,176,0,0,16.5,3,True
8,21,64,1,21,570,1,2,69.75,4,False
3,4,3,2,2,3,0,0,0.0,1,False
9,38,102,1,37,620,0,0,67.77777778,6,True
11,18,71,3,16,542,1,3,47.63636364,16,True
3,5,8,0,5,21,0,0,5.666666667,1,False
12,12,37,5,7,319,0,0,24.75,7,True
26,17,31,13,4,193,1,0,5.961538462,4,False
4,7,16,1,6,76,0,0,17.75,5,True
3,13,28,0,13,142,0,0,46.33333333,9,False
23,18,70,2,17,537,0,0,21.95652174,5,False
5,14,67,1,13,695,0,0,137.8,50,False
43,18,44,18,0,274,0,0,4.88372093,1,False
15,28,84,0,28,507,0,0,32.73333333,19,True
6,71,45,50,21,219,0,5,35.16666667,8,True
3,7,15,0,7,46,0,0,14.33333333,3,False
5,13,26,7,6,151,0,0,28.8,5,True
6,12,22,2,10,194,0,0,31.0,9,False
16,34,52,24,12,428,0,4,25.3125,29,True
1,2,1,2,0,1,0,0,0.0,1,False
4,6,16,0,6,97,0,0,21.5,7,False
28,31,106,2,29,828,3,0,28.10714286,17,True
4,10,29,0,10,133,0,0,32.0,6,False
3,6,6,2,5,18,0,0,5.0,1,False
7,8,17,3,5,151,0,0,19.57142857,5,False
1,10,1,9,1,1,0,0,0.0,1,False
3,83,6,83,0,17,0,0,4.333333333,0,True
4,13,21,1,12,178,0,3,43.5,9,False
6,10,13,0,10,35,0,0,4.833333333,1,False
3,11,35,0,11,200,0,0,64.33333333,11,False
5,21,47,2,19,242,0,0,47.0,4,False
8,3,42,0,3,202,0,4,24.0,1,True
1,1,1,1,0,1,0,0,0.0,1,False
4,11,29,0,11,212,0,0,51.25,15,False
6,17,32,1,16,242,1,0,37.83333333,13,True
5,7,18,1,6,153,2,0,28.8,4,False
5,22,66,2,20,493,0,0,96.8,1,True
0,0,0,0,0,0,0,0,0.0,0,False
4,9,29,0,9,218,0,0,52.75,16,False
3,5,7,1,4,40,2,0,11.66666667,3,True
5,12,10,3,9,46,2,0,7.6,1,False
11,16,45,3,13,250,3,0,21.18181818,14,False
3,4,3,2,2,3,0,0,0.0,1,False
2,6,7,1,5,36,1,0,16.0,1,False
3,10,16,0,10,56,0,0,17.66666667,4,False
3,11,27,0,11,145,0,0,47.33333333,10,False
8,8,32,2,6,219,2,0,26.0,15,True
3,2,4,2,0,20,0,0,5.333333333,1,False
4,5,9,0,5,31,0,0,6.5,1,False
4,24,17,15,9,59,0,0,13.5,1,False
22,4,44,1,4,388,1,0,16.13636364,16,True
6,4,26,1,4,171,0,0,27.16666667,1,True
5,11,28,1,10,122,0,0,23.2,6,False
10,8,20,7,1,148,0,0,13.5,2,False
2,8,2,6,2,2,0,0,0.0,1,False
4,9,13,0,9,35,0,2,7.75,1,False
6,13,6,12,1,6,0,0,0.0,1,False
5,12,19,4,8,159,0,0,30.6,9,False
6,6,22,4,3,154,0,0,24.5,7,False
5,9,42,0,9,384,0,0,73.0,28,False
7,9,51,1,9,334,0,0,46.14285714,23,False
25,32,86,11,21,740,2,0,28.12,11,True
8,10,29,2,8,167,1,0,19.625,6,True
10,7,11,4,3,46,1,0,3.3,1,False
2,2,4,1,1,10,0,0,4.0,1,False
6,10,21,2,8,232,0,0,37.0,10,False
15,14,53,3,11,307,2,1,19.13333333,18,False
27,11,90,1,11,845,0,2,29.74074074,11,False
3,7,13,0,7,41,0,0,12.66666667,3,False
3,8,14,0,8,45,0,0,14.0,3,False
4,5,9,0,5,30,0,0,6.25,1,False
4,8,25,0,8,218,0,0,51.5,14,False
2,8,4,6,2,9,0,0,3.5,1,False
4,10,31,0,10,456,0,0,113.0,18,False
4,11,29,0,11,191,0,0,46.25,14,False
3,11,31,0,11,225,0,0,74.0,13,False
8,27,64,0,27,313,1,0,37.875,2,True
2,5,2,3,2,2,0,0,0.0,1,False
7,13,50,1,12,488,1,0,68.14285714,39,True
12,15,28,1,14,117,1,3,8.583333332999999,1,False
6,7,12,6,2,56,0,0,7.833333333,1,False
6,12,56,1,11,606,0,4,99.33333333,15,True
9,10,12,8,2,70,1,0,6.0,1,False
10,15,39,2,13,210,0,0,19.8,9,True
8,4,8,4,0,8,0,0,0.0,1,False
4,4,8,0,4,27,0,0,5.5,1,False
17,17,62,2,16,329,0,0,17.82352941,12,False
14,30,69,1,29,511,2,0,35.07142857,17,True
4,13,21,4,9,132,0,0,31.75,6,False
4,14,30,0,14,161,0,0,38.0,8,False
1,5,1,3,2,1,0,0,0.0,1,False
3,8,14,0,8,45,0,0,14.0,3,False
4,19,69,1,18,598,0,0,147.5,40,False
7,20,32,17,4,220,0,0,30.14285714,7,False
4,18,38,2,16,268,1,0,65.75,27,True
6,10,20,4,7,106,1,2,16.16666667,2,False
9,24,45,0,24,235,0,0,24.66666667,7,True
9,11,45,0,11,351,0,0,37.77777778,1,True
2,13,16,1,13,88,0,2,43.0,6,True
20,14,71,3,12,677,3,0,32.3,34,True
5,7,33,1,6,207,0,0,39.4,5,False
3,2,7,1,1,43,0,2,13.33333333,2,False
7,48,7,48,1,7,0,0,0.0,1,True
3,9,15,1,8,50,0,0,15.33333333,3,True
11,11,38,2,9,336,1,0,29.09090909,3,False
2,10,8,1,10,38,0,2,18.0,3,False
67,44,172,9,37,1449,5,0,20.164179100000002,49,True
3,11,32,0,11,232,0,0,75.33333333,16,True
5,26,18,19,7,154,0,0,26.8,5,False
14,15,26,8,7,159,2,0,9.928571429,9,False
18,2,28,1,1,200,0,0,9.666666667000001,1,False
4,5,9,0,5,31,0,0,6.5,1,False
2,4,5,4,0,88,0,0,28.5,0,True
3,7,15,0,7,46,0,0,14.33333333,3,False
3,9,13,1,8,113,1,0,35.66666667,1,False
3,12,24,0,12,94,0,0,30.33333333,8,False
7,10,37,1,9,227,0,0,31.14285714,20,False
3,10,21,0,10,110,0,0,35.66666667,9,False
3,12,31,0,12,144,0,0,47.0,11,True
2,6,9,0,6,20,0,0,9.0,1,False
12,10,37,2,8,390,1,0,30.91666667,30,True
2,11,14,1,11,63,0,2,30.5,4,False
5,11,38,1,11,220,1,4,42.8,12,False
7,7,42,3,4,558,0,0,78.57142857,12,True
16,17,66,3,14,918,0,0,56.0,16,True
2,6,6,2,4,21,0,0,9.5,2,False
7,1,8,1,0,113,0,0,14.28571429,7,False
10,11,33,4,7,248,0,0,23.1,6,True
9,10,30,7,5,235,0,0,24.22222222,3,True
5,12,19,3,9,143,0,0,27.4,1,False
2,11,2,10,1,2,0,0,0.0,1,False
4,7,4,6,1,4,0,0,0.0,1,False
6,11,37,1,10,214,0,0,34.5,8,True
1,0,2,0,0,4,0,0,3.0,0,False
17,11,39,2,9,535,3,3,30.05882353,21,True
3,2,4,1,1,17,0,0,4.333333333,1,False
1,1,1,1,0,1,0,0,0.0,1,False
4,11,23,1,10,101,0,0,23.25,4,False
7,5,11,2,3,68,2,0,8.0,3,True
2,16,21,1,16,145,0,3,71.5,8,True
8,28,44,10,23,342,0,0,41.5,19,True
5,22,45,2,20,165,0,0,31.8,15,True
15,21,53,2,19,357,3,0,22.46666667,13,True
8,12,60,4,9,709,0,0,86.125,23,True
4,7,7,1,6,30,1,0,6.25,2,False
8,34,36,18,16,181,0,0,21.0,5,False
3,13,27,0,13,128,0,0,41.66666667,8,False
22,25,64,2,23,544,2,0,23.22727273,22,True
3,11,3,10,1,3,0,0,0.0,1,False
9,14,39,4,10,406,1,0,43.66666667,7,True
2,12,14,7,5,40,0,0,19.0,3,False
3,13,18,2,11,90,0,0,28.0,7,False
4,12,25,2,10,145,0,0,34.75,12,False
1,1,1,1,0,1,0,0,0.0,1,False
9,2,12,1,1,75,2,0,6.8888888889999995,4,False
14,3,15,3,0,126,0,0,7.642857143,4,False
2,4,2,2,2,2,0,0,0.0,1,False
14,19,71,8,13,442,0,0,30.35714286,7,True
4,10,22,0,10,174,0,0,42.0,15,False
1,4,1,2,2,1,0,0,0.0,1,False
4,5,9,0,5,30,0,0,6.25,1,False
3,7,16,2,5,74,0,2,23.66666667,8,True
52,78,52,72,10,52,0,0,0.0,1,False
5,7,18,1,6,80,1,5,14.8,3,True
4,7,16,0,7,48,0,6,10.75,1,True
3,5,12,1,4,33,0,0,10.0,2,False
7,8,43,1,7,245,0,0,33.85714286,12,True
5,12,31,0,12,132,0,0,24.6,1,False
4,12,24,4,8,188,0,0,46.0,10,False
22,2,22,2,0,22,0,0,0.0,1,False
3,11,26,2,9,158,0,0,51.33333333,11,False
6,5,17,2,3,76,1,0,11.0,2,False
6,11,22,2,9,202,0,0,32.33333333,8,False
1,1,1,1,0,1,0,0,0.0,1,False
6,7,28,1,6,163,0,0,25.5,4,False
6,7,28,2,6,139,1,3,22.0,6,True
4,4,13,1,4,51,1,1,11.5,3,False
4,11,23,1,11,117,1,2,28.0,6,True
5,10,35,0,10,435,0,0,84.2,30,False
4,10,28,0,10,260,0,0,62.75,19,False
4,7,19,0,7,66,0,0,14.75,3,False
4,9,14,3,6,89,0,0,20.75,5,True
11,23,65,11,18,566,0,0,50.36363636,35,False
23,22,74,4,18,461,3,1,18.60869565,23,False
4,13,22,1,12,126,0,0,29.5,6,False
3,13,17,1,12,82,0,7,26.33333333,3,False
3,12,16,1,12,101,0,2,32.66666667,7,False
50,46,108,27,20,976,2,0,18.3,8,True
4,5,9,0,5,30,0,0,6.25,1,False
2,14,15,7,7,46,0,0,22.0,3,False
2,5,18,2,3,106,0,5,52.0,7,True
1,0,2,0,0,10,0,0,3.0,0,False
4,9,27,0,9,150,0,0,36.25,11,True
12,16,51,2,14,435,1,0,34.75,27,True
2,8,14,0,8,46,0,0,22.0,1,False
7,9,28,3,6,265,1,0,36.28571429,3,True
2,11,16,5,6,50,0,0,24.0,5,True
3,9,15,0,9,50,0,0,15.66666667,4,False
2,10,23,2,8,114,0,2,56.0,11,True
3,8,19,0,8,88,0,0,28.33333333,8,False
1,0,2,0,0,6,0,0,3.0,0,False
3,8,11,2,6,26,0,0,7.333333333,1,False
13,14,45,2,12,382,1,0,28.0,4,False
25,26,87,2,24,753,1,0,28.64,16,True
6,34,105,2,32,620,0,0,102.0,7,True
4,13,27,0,13,167,0,0,40.0,5,False
8,33,105,5,28,455,0,0,55.875,6,True
4,13,29,0,13,222,0,0,51.75,12,False
2,6,8,2,4,33,0,0,15.5,3,True
2,1,13,1,0,57,0,0,26.0,1,False
4,14,29,0,14,156,0,0,37.75,10,False
3,12,29,1,11,143,0,0,46.33333333,12,False
8,7,18,3,4,79,1,0,8.5,3,True
5,23,23,14,9,77,0,0,14.2,2,False
61,46,136,25,21,776,2,0,11.55737705,11,True
1,2,1,2,0,1,0,0,0.0,1,False
4,6,11,0,6,49,0,0,10.75,3,False
4,9,4,6,3,4,0,0,0.0,1,False
15,15,42,6,9,326,1,1,20.33333333,7,False
16,13,60,4,9,483,0,0,28.6875,8,True
5,7,26,5,3,288,0,0,56.2,9,False
2,14,6,11,3,106,0,0,7.0,0,True
4,78,4,78,1,4,0,0,0.0,1,False
6,14,22,5,9,146,0,0,23.33333333,4,False
11,5,59,1,4,1312,0,0,114.54545449999999,10,True
4,9,36,0,9,371,0,0,89.25,23,True
1,0,2,0,0,7,0,0,3.0,0,False
3,7,16,2,5,70,0,2,22.33333333,8,True
7,9,22,0,9,114,1,0,14.57142857,5,False
3,10,21,0,10,107,0,0,34.66666667,11,False
15,23,75,10,13,940,0,0,61.6,12,True
4,4,10,1,4,43,1,1,9.5,2,False
6,3,15,1,2,60,1,0,8.666666667000001,1,False
