rfc,npm,bug
49,0,True
1,1,True
12,7,True
16,3,True
6,3,True
46,3,True
46,5,True
76,31,True
125,10,True
61,26,True
7,3,True
5,3,True
60,5,True
26,14,True
29,11,True
28,7,True
2,1,True
7,3,True
22,3,True
48,7,True
15,3,True
3,2,True
79,7,True
24,2,True
59,9,True
72,19,True
79,13,True
22,5,True
4,2,True
5,0,False
428,130,True
19,13,True
49,0,True
47,22,True
21,7,True
20,9,True
66,5,True
44,17,True
4,2,True
7,2,True
21,1,True
38,5,True
51,27,True
31,0,True
83,23,True
6,4,True
36,14,True
2,1,True
21,11,True
15,3,True
3,2,True
51,23,True
1,1,True
4,4,True
8,4,True
1,1,True
13,1,True
3,2,True
26,8,True
3,3,True
4,2,True
3,2,True
4,2,True
52,13,True
31,12,True
54,20,True
49,0,True
19,7,True
15,10,True
2,1,True
17,2,True
2,1,True
15,5,True
4,3,True
3,2,True
20,0,True
11,8,True
12,12,True
21,12,True
28,4,True
6,3,True
6,2,True
20,0,True
4,1,True
7,2,True
6,2,True
42,10,True
3,2,True
17,7,True
18,7,True
49,0,True
6,2,True
29,6,True
15,11,True
25,8,True
3,2,True
24,3,True
57,11,True
13,4,True
15,3,True
11,6,True
11,3,True
4,2,True
147,43,True
88,24,True
16,3,True
38,21,True
23,0,True
41,17,True
233,66,True
4,2,True
15,3,True
7,2,True
2,0,True
18,10,True
46,8,True
31,4,True
23,8,True
18,9,True
55,13,True
45,9,True
3,2,True
4,3,True
5,2,True
2,1,True
40,4,True
71,20,True
162,38,True
10,2,True
20,0,True
2,1,True
46,19,True
22,4,True
69,6,True
12,4,True
66,0,True
18,5,True
15,10,True
58,7,True
44,21,True
8,2,True
77,35,True
97,40,True
2,1,True
15,3,True
9,1,True
15,3,True
3,2,True
15,3,True
33,4,True
10,2,True
19,11,True
23,0,True
7,2,True
3,2,True
12,2,True
4,3,True
31,4,True
16,4,True
12,3,True
20,0,True
3,2,True
48,10,True
3,2,True
16,3,True
16,4,True
5,3,True
22,6,True
18,6,True
43,17,True
31,12,True
15,2,True
10,2,True
94,1,True
25,8,True
119,30,True
150,97,True
50,11,True
0,0,True
43,8,True
47,17,True
4,2,True
5,0,False
16,5,True
10,10,True
94,87,True
21,12,True
17,4,True
3,2,True
15,6,True
23,8,True
19,3,True
73,9,True
11,6,True
3,2,True
12,5,True
136,110,True
49,22,True
39,13,True
11,2,True
14,8,True
3,2,True
51,9,True
2,1,True
42,7,True
17,2,True
28,19,True
9,2,True
20,0,True
32,4,True
54,8,True
2,1,True
23,10,True
10,3,True
25,25,True
21,15,True
7,5,True
6,5,True
22,13,True
20,0,True
4,3,True
152,15,True
19,5,True
8,4,True
44,8,True
56,22,True
24,9,True
2,0,True
53,23,True
5,0,False
49,0,True
7,3,True
25,2,True
29,6,True
18,7,True
2,1,True
102,33,True
49,7,True
14,13,True
44,14,True
4,3,True
93,11,True
84,56,True
31,0,True
31,5,True
31,6,True
49,28,True
17,1,True
3,2,True
15,3,True
26,0,False
34,7,True
15,3,True
18,5,True
3,2,True
9,9,True
59,29,True
24,0,True
18,9,True
11,11,True
11,2,True
20,0,True
28,8,True
38,7,True
15,8,True
12,2,True
15,3,True
23,2,True
59,6,True
10,10,True
21,5,True
15,3,True
15,3,True
33,14,True
3,2,True
54,5,True
7,2,True
20,0,True
41,18,True
12,8,True
7,3,True
15,3,True
13,4,True
17,6,True
77,60,True
18,5,True
29,8,True
3,0,False
22,20,True
25,12,True
3,2,True
20,7,True
20,11,True
68,40,True
33,6,True
9,4,True
25,6,True
1,1,True
14,3,True
3,2,True
7,2,True
7,6,True
8,7,True
2,1,True
57,3,True
5,4,True
112,26,True
3,2,True
33,2,True
15,9,True
123,33,True
9,2,True
28,2,True
15,3,True
49,19,True
15,4,True
8,3,True
15,3,True
12,12,True
15,3,True
7,2,True
6,2,True
16,4,True
10,8,True
25,6,True
20,12,True
4,3,True
85,17,True
53,6,True
22,3,True
15,3,True
2,1,True
39,20,True
3,2,True
21,8,True
11,6,True
2,2,True
16,5,True
15,3,True
18,1,True
1,1,True
23,7,True
4,2,True
54,16,True
41,15,True
25,7,True
5,2,True
8,0,True
8,2,True
2,1,True
7,7,True
16,6,True
18,9,True
65,17,True
192,66,True
7,3,True
109,15,True
48,9,True
7,4,True
6,4,True
2,1,True
17,4,True
72,5,True
49,0,True
77,3,True
32,11,True
13,4,True
97,10,True
23,21,True
83,21,True
115,2,True
1,1,True
26,11,True
19,19,True
27,8,True
14,1,True
14,2,True
70,7,True
0,0,True
12,3,True
1,1,True
8,2,True
15,3,True
84,37,True
22,11,True
23,10,True
50,4,True
6,3,True
48,11,True
20,8,True
115,52,True
5,1,True
15,3,True
0,0,True
1,1,True
15,11,True
14,3,True
2,2,True
45,4,True
1,1,True
74,21,True
23,4,True
23,0,True
2,2,True
26,3,True
12,2,True
19,3,True
49,0,True
41,11,True
15,3,True
43,10,True
27,13,True
26,2,True
14,1,True
7,3,True
30,21,True
23,0,True
24,2,True
346,119,True
14,10,True
3,2,True
2,2,True
11,1,True
15,3,True
3,2,True
41,5,True
24,8,True
3,2,True
124,27,True
3,2,True
168,22,True
79,26,True
27,2,True
32,8,True
15,3,True
122,71,True
48,3,True
8,1,True
8,4,True
36,5,True
15,3,True
56,41,True
15,3,True
30,23,True
15,3,True
10,2,True
3,2,True
27,3,True
12,5,True
15,3,True
15,3,True
12,3,True
9,3,True
10,9,True
20,0,True
2,2,True
22,3,True
10,1,True
46,9,True
114,40,True
2,2,True
8,3,True
3,2,True
4,0,False
145,27,True
2,1,True
9,9,True
2,1,False
15,5,True
101,5,True
117,54,True
69,48,True
10,5,True
41,7,True
6,0,True
13,2,True
21,4,True
3,2,True
83,13,True
22,5,True
34,10,True
1,1,True
20,10,True
4,2,True
37,6,True
69,40,True
27,13,True
73,16,True
37,5,True
63,7,True
5,5,True
178,76,True
59,21,True
18,4,True
29,8,True
57,6,True
7,6,True
41,16,True
3,2,True
4,3,True
4,2,True
49,0,True
133,110,True
11,2,True
4,2,True
28,8,True
15,3,True
69,34,True
49,0,True
3,2,True
15,3,True
23,0,True
56,20,True
3,2,True
7,2,True
23,0,True
25,7,True
10,3,True
15,3,True
4,2,True
1,1,True
22,11,True
13,3,True
12,10,True
4,2,True
33,14,True
38,7,True
15,3,True
22,6,True
26,16,True
54,4,True
23,0,True
36,12,True
2,1,True
21,10,True
64,26,True
49,19,True
8,0,True
49,8,True
15,3,True
7,2,True
7,2,True
29,14,True
29,9,True
12,8,True
23,12,True
55,5,True
3,2,True
26,5,True
37,7,True
3,2,True
7,2,True
46,9,True
44,44,True
23,2,True
32,3,True
15,3,True
1,1,True
7,3,True
16,9,True
55,38,True
49,0,True
45,19,True
3,2,True
15,7,True
34,7,True
12,3,True
55,12,True
7,3,True
50,10,True
34,8,True
30,3,True
41,4,True
33,30,True
1,1,True
26,11,True
14,1,True
151,55,True
48,16,True
33,6,True
3,2,True
23,0,True
9,5,True
2,1,True
4,2,True
16,13,True
68,29,True
23,6,True
23,0,True
4,3,True
17,3,True
8,0,True
15,3,True
2,1,True
13,5,True
5,0,False
8,3,True
68,29,True
3,2,True
7,3,True
196,48,True
24,2,True
35,6,True
4,4,True
21,10,True
45,9,True
44,6,True
4,2,True
7,3,True
19,5,True
159,79,True
29,8,True
0,0,True
47,2,True
8,2,True
24,3,True
23,0,True
50,16,True
3,2,True
13,7,True
11,3,True
17,4,True
3,2,True
2,1,True
37,4,True
13,2,True
39,16,True
83,9,True
18,5,True
46,10,True
17,13,True
9,2,False
9,2,True
4,1,True
24,16,True
18,6,True
54,29,True
12,4,True
5,2,True
1,1,True
3,2,True
12,3,True
11,2,True
9,4,True
37,2,True
7,7,True
49,0,True
40,7,True
3,2,True
4,2,True
17,4,True
10,2,True
12,2,True
11,3,True
13,3,True
23,0,True
3,2,True
56,5,True
120,42,True
10,2,True
6,5,True
6,1,True
5,2,True
1,1,True
6,2,True
198,66,True
4,2,True
107,22,True
13,3,True
154,23,True
14,4,True
23,2,True
18,9,True
118,52,True
2,1,True
41,2,True
5,5,True
84,45,True
15,10,True
15,4,True
46,13,True
2,1,True
173,118,True
205,48,True
10,4,True
15,12,True
3,2,True
26,3,True
20,8,True
5,2,True
20,8,True
44,4,True
3,2,True
41,6,True
23,12,True
199,66,True
100,46,True
1,1,True
9,9,True
3,2,True
10,5,True
8,8,True
49,16,True
15,3,True
19,8,True
3,2,True
60,34,True
74,31,True
20,12,True
82,17,True
2,1,True
15,3,True
10,0,True
11,6,True
20,0,True
4,3,True
51,14,True
3,2,True
5,0,False
3,2,True
4,4,True
56,6,True
6,5,True
18,5,True
15,3,True
25,4,True
56,19,True
0,0,True
128,8,True
65,7,True
18,3,True
3,2,True
38,3,True
2,1,True
125,77,True
20,12,True
9,4,True
14,14,True
20,0,True
6,2,True
208,59,True
151,10,True
43,7,True
23,0,True
48,19,True
9,9,True
3,2,True
45,3,True
10,1,True
3,2,True
3,2,True
43,8,True
2,1,True
15,3,True
45,8,True
1,1,True
104,9,True
15,3,True
44,14,True
20,12,True
11,0,True
7,2,True
17,3,True
70,6,True
4,3,True
2,1,True
49,0,True
131,44,True
43,10,True
15,3,True
49,0,True
16,7,True
6,4,True
20,0,True
36,5,True
5,3,True
18,9,True
10,2,True
23,0,True
4,3,True
16,1,True
1,1,True
3,2,True
17,5,True
67,67,True
2,1,True
4,4,True
26,4,True
11,5,True
2,1,True
101,13,True
4,3,True
32,7,True
10,0,True
3,2,True
11,3,True
5,0,False
15,3,True
66,6,True
7,2,True
2,1,True
5,4,True
26,3,True
39,3,True
3,1,True
22,5,True
9,3,True
6,6,True
3,2,True
21,8,True
11,3,True
9,5,True
11,5,True
4,2,True
21,3,True
19,6,True
23,0,True
74,5,True
0,0,True
138,68,True
15,3,True
35,4,True
8,2,True
56,30,True
16,3,True
46,4,True
3,2,True
15,4,True
36,6,True
40,13,True
37,5,True
14,2,True
37,37,True
15,3,True
1,1,True
9,2,True
15,3,True
15,3,True
15,3,True
7,3,True
19,9,True
7,2,True
15,3,True
20,0,True
23,0,True
42,21,True
41,10,True
44,2,True
78,29,True
2,0,True
20,0,True
5,3,True
1,1,True
13,4,True
8,5,True
2,2,True
30,7,True
49,0,True
36,4,True
2,1,True
7,3,True
62,3,True
90,39,True
15,3,True
34,1,True
2,1,True
19,10,True
20,10,True
15,3,True
113,15,True
68,38,True
3,2,True
15,3,True
14,4,True
27,4,True
27,6,True
53,10,True
15,3,True
32,3,True
16,3,True
49,0,True
38,4,True
56,9,True
6,4,True
25,6,True
15,3,True
13,3,True
3,2,True
0,0,True
21,4,True
26,15,True
42,14,True
19,2,True
3,2,True
6,2,True
8,3,True
15,3,True
5,3,True
3,2,True
98,33,True
78,20,True
19,19,True
2,1,True
7,2,True
20,0,True
16,3,True
7,2,True
21,10,True
48,24,True
